City,Zip Code,Latitude,Longitude,Gender,Senior Citizen,Partner,Dependents,Tenure Months,Phone Service,Multiple Lines,Internet Service,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Payment Method,Monthly Charges,Total Charges,Churn Value
714,91762,34.057256,-117.667677,1,0,0,0,59,1,0,2,1,1,1,1,1,1,2,0,3,19.35,1099.6,1
714,91764,34.074087,-117.605618,0,1,0,0,16,1,0,1,0,0,0,2,2,2,0,1,2,94.45,1511.2,1
792,91766,34.042286,-117.756106,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,24.8,24.8,1
792,91768,34.067932,-117.785168,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,3,70.6,70.6,1
849,91770,34.065108,-118.082791,1,0,1,0,5,1,2,1,0,2,0,2,0,0,0,1,2,85.4,401.1,1
870,91773,34.102119,-117.815532,0,0,1,0,52,1,2,1,0,2,2,0,2,2,0,1,2,105.05,5624.85,1
1079,91791,34.061634,-117.893169,1,0,1,0,18,1,0,1,0,0,2,0,2,2,0,0,3,95.15,1779.95,1
12,91803,34.074736,-118.145959,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,2,70.0,70.0,1
16,91901,32.827184,-116.703729,1,1,0,0,8,1,0,1,0,2,0,0,0,0,0,1,2,74.5,606.55,1
100,91902,32.67117,-117.00232,1,0,0,0,10,1,0,0,0,0,0,0,0,0,0,1,1,44.85,435.4,1
106,91905,32.677097,-116.304991,1,1,0,0,24,1,2,1,0,0,0,0,0,0,0,1,2,76.1,1712.7,1
399,91931,32.857946,-116.561917,0,0,0,0,1,1,0,1,2,0,0,0,0,0,0,1,3,73.6,73.6,1
461,91934,32.649787,-116.2237,0,1,0,0,4,1,2,1,0,0,0,0,2,2,0,1,2,95.45,396.1,1
655,91948,32.830852,-116.444601,1,1,1,0,32,1,2,1,0,0,0,0,0,0,0,1,2,74.9,2303.35,1
104,92004,33.200369,-116.192313,1,0,0,0,5,1,0,1,0,0,0,0,2,0,0,1,2,80.6,415.55,1
158,92009,33.098018,-117.258203,0,0,1,0,38,1,0,0,2,2,0,2,2,2,1,0,1,80.3,3058.65,1
251,92014,32.948262,-117.256086,1,1,1,0,24,1,0,1,0,0,2,0,2,2,0,1,2,93.15,2231.05,1
287,92020,32.79697,-116.969082,0,1,0,0,54,1,2,0,2,2,0,2,2,2,1,0,0,82.45,4350.1,1
308,92029,33.079834,-117.134275,0,1,0,0,2,1,0,1,0,0,0,0,0,0,0,1,2,70.35,139.05,1
706,92057,33.254497,-117.285879,0,0,0,0,7,1,2,1,0,0,0,0,0,0,0,1,2,73.85,511.25,1
733,92059,33.384345,-117.072619,0,0,0,0,2,1,2,1,0,0,2,0,0,0,0,0,3,80.6,155.8,1
741,92060,33.309852,-116.823091,1,0,1,0,68,1,2,0,0,2,2,2,0,2,1,1,0,75.8,5293.95,1
752,92061,33.313828,-116.940501,0,0,0,0,43,1,2,1,0,2,2,0,2,2,2,1,2,104.6,4759.85,1
809,92066,33.215251,-116.53633,1,0,1,0,63,1,2,1,0,2,2,0,2,2,0,1,2,103.4,6603.0,1
1048,92082,33.25283,-116.986079,0,0,0,0,2,1,0,1,0,0,0,0,2,2,0,1,2,90.4,168.2,1
869,92103,32.747484,-117.166877,1,0,1,0,4,1,2,1,0,2,2,0,0,0,0,1,0,84.8,371.9,1
869,92104,32.741499,-117.127409,0,1,0,0,21,0,1,0,2,0,0,0,2,0,0,1,2,41.9,840.1,1
869,92105,32.741859,-117.090353,0,0,0,0,10,1,0,1,0,0,0,0,0,2,0,1,0,80.25,846.0,1
869,92108,32.774046,-117.142454,1,1,1,0,27,0,1,0,2,0,0,0,0,0,0,0,1,30.75,805.1,1
869,92116,32.765299,-117.122565,1,0,0,0,5,1,0,1,0,0,2,0,2,2,0,0,0,96.5,492.55,1
869,92122,32.85723,-117.209774,1,0,0,0,2,1,2,1,0,0,0,0,2,0,0,1,2,85.65,181.5,1
869,92129,32.961064,-117.134917,0,0,1,0,25,1,2,1,0,0,2,2,2,2,0,1,0,104.95,2566.5,1
869,92154,32.578103,-117.012975,1,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,3,50.65,50.65,1
452,92201,33.713891,-116.237257,1,0,0,0,1,1,2,1,0,2,0,0,0,2,0,1,1,90.85,90.85,1
451,92210,33.537646,-116.291089,1,1,1,0,11,1,0,2,1,1,1,1,1,1,0,0,3,19.95,214.75,1
735,92211,33.762759,-116.324817,0,1,1,0,55,1,2,1,0,2,2,0,0,0,0,1,2,85.45,4874.7,1
258,92240,33.948558,-116.516976,0,0,0,0,34,1,0,1,0,2,0,0,0,0,0,1,1,73.95,2524.45,1
430,92250,32.811001,-115.152865,1,0,1,0,69,1,2,1,0,0,2,0,2,2,0,1,1,99.45,7007.6,1
681,92257,33.345825,-115.596574,0,0,0,0,1,1,0,2,1,1,1,1,1,1,0,1,3,19.9,19.9,1
689,92258,33.906496,-116.569499,1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,1,3,19.6,19.6,1
707,92259,32.698964,-115.886656,1,1,0,0,3,1,2,1,0,2,0,0,0,0,0,1,2,81.35,233.7,1
920,92273,32.790282,-115.689559,0,0,1,0,22,1,0,1,0,2,0,0,0,2,0,0,2,83.3,1845.9,1
1009,92274,33.53604,-116.119222,0,1,0,0,1,1,0,1,0,0,2,0,0,0,0,1,0,75.3,75.3,1
2,92301,34.667815,-117.536183,0,0,1,0,61,1,0,2,1,1,1,1,1,1,0,1,3,19.4,1182.55,1
32,92307,34.55082,-117.122396,1,0,0,0,12,1,0,0,0,0,0,0,0,0,0,1,0,45.4,518.9,1
233,92325,34.248061,-117.29028,0,0,0,0,60,1,2,1,0,2,2,0,2,2,0,1,2,105.9,6396.45,1
241,92327,34.875144,-116.821698,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,3,69.55,69.55,1
574,92338,34.702766,-116.093376,0,0,1,0,28,1,0,1,0,0,0,0,0,2,0,1,2,81.05,2227.1,1
573,92356,34.508417,-116.856103,1,0,1,0,4,1,2,1,0,0,2,0,2,2,0,0,2,101.15,385.9,1
576,92358,34.238162,-117.534306,1,0,0,0,7,1,2,1,0,2,0,0,2,2,0,1,2,99.8,673.25,1
763,92371,34.441123,-117.537886,0,0,1,0,13,1,0,0,0,0,0,0,0,2,0,0,2,55.95,734.35,1
822,92373,34.003243,-117.138286,1,0,0,0,1,1,0,0,0,0,0,0,0,2,0,1,2,55.0,55.0,1
830,92377,34.156758,-117.404686,0,0,1,0,1,1,0,1,0,2,0,0,0,0,0,1,2,74.7,74.7,1
854,92382,34.186211,-117.07683,1,0,0,0,24,1,2,1,0,2,0,0,0,0,0,1,2,80.25,1861.5,1
1000,92389,35.824572,-116.274755,1,0,0,0,5,1,0,1,0,0,0,2,2,2,0,1,2,96.1,453.4,1
1057,92392,34.486835,-117.362274,0,0,0,0,15,1,0,1,0,0,0,0,0,0,0,0,0,69.0,994.8,1
1118,92397,34.358321,-117.618263,0,0,1,0,48,0,1,0,2,0,2,0,0,2,0,1,0,45.3,2145.0,1
865,92401,34.105935,-117.2914,0,0,1,0,8,1,0,1,0,2,0,0,2,0,0,1,2,83.55,680.05,1
865,92410,34.106922,-117.297553,1,0,0,0,1,1,2,1,0,0,0,0,0,0,0,1,2,74.35,74.35,1
844,92503,33.890046,-117.455583,0,0,1,0,2,1,0,1,2,0,0,0,0,0,0,1,2,74.4,139.4,1
844,92506,33.930931,-117.361788,1,0,0,0,22,0,1,0,0,2,2,0,0,2,1,1,0,43.75,903.6,1
844,92509,34.004379,-117.447864,0,1,0,0,5,0,1,0,0,2,0,0,0,0,0,0,2,28.45,131.05,1
589,92518,33.888323,-117.277533,0,0,0,0,12,1,2,1,2,2,2,0,0,2,0,1,0,99.7,1238.45,1
419,92544,33.644585,-116.871544,0,1,0,0,20,1,2,1,0,2,2,0,0,2,0,1,2,94.1,1782.4,1
431,92548,33.761894,-117.120868,1,0,1,0,2,1,0,1,0,0,0,2,2,2,0,1,2,94.2,167.5,1
446,92549,33.755039,-116.741796,0,0,1,0,6,1,2,1,0,0,0,2,0,0,0,1,2,80.5,502.85,1
647,92557,33.970661,-117.255039,0,1,1,0,5,1,2,1,0,0,0,0,0,0,0,1,2,74.35,334.8,1
662,92563,33.581045,-117.14719,1,0,0,0,40,1,2,1,0,0,2,2,2,2,0,0,0,104.8,4131.95,1
759,92571,33.828289,-117.201666,0,1,1,0,27,1,0,1,2,0,0,0,0,0,0,1,0,75.2,1929.35,1
982,92586,33.707483,-117.200006,0,0,0,0,23,1,2,1,0,0,0,0,0,0,0,0,0,75.6,1758.6,1
982,92587,33.69887,-117.25071,1,0,1,0,34,1,2,1,0,0,2,0,2,2,0,1,2,100.05,3480.0,1
457,92612,33.643095,-117.810896,0,0,0,0,1,1,2,1,0,0,0,0,0,2,0,1,2,85.0,85.0,1
511,92630,33.644849,-117.684254,1,0,0,0,10,1,2,1,0,0,0,0,2,0,0,1,0,86.05,834.1,1
441,92646,33.666301,-117.969501,1,0,0,0,13,0,1,0,2,0,0,2,2,0,0,1,1,45.55,597.0,1
441,92648,33.679659,-118.016195,1,0,1,0,39,1,0,1,0,2,0,0,2,0,0,1,3,86.3,3266.0,1
676,92661,33.601309,-117.902304,1,0,0,0,32,1,2,1,0,2,0,0,0,0,0,1,0,80.35,2596.15,1
898,92701,33.748478,-117.858918,0,0,0,0,35,1,2,1,0,0,2,0,2,2,0,1,2,100.25,3527.6,1
898,92707,33.714829,-117.872941,1,0,1,0,56,1,2,1,0,2,0,0,2,2,1,0,1,100.3,5614.45,1
23,92805,33.830209,-117.906099,0,0,1,0,12,1,0,2,1,1,1,1,1,1,0,0,3,19.0,233.55,1
23,92806,33.83796,-117.870494,0,0,0,0,1,1,0,1,2,0,0,0,0,0,0,0,3,75.3,75.3,1
23,92807,33.848733,-117.788357,0,1,0,0,4,1,2,1,0,0,2,0,2,0,0,1,2,89.2,346.2,1
110,92823,33.924143,-117.79387,0,1,0,0,1,1,2,1,0,0,0,0,2,0,0,1,2,85.7,85.7,1
684,92860,33.925833,-117.559639,0,0,0,0,12,1,2,0,2,0,2,2,0,0,0,1,3,61.65,713.75,1
1120,92887,33.884073,-117.732197,0,1,1,0,65,1,2,1,2,0,2,0,2,2,0,0,0,105.25,6786.4,1
1055,93001,34.360261,-119.306383,1,0,1,0,9,0,1,0,0,2,0,0,0,0,0,1,2,29.95,248.95,1
1055,93003,34.279221,-119.221437,0,0,1,0,9,1,0,0,2,2,2,2,0,0,0,0,3,65.0,663.05,1
795,93041,34.110124,-119.100972,0,0,0,0,7,1,0,2,1,1,1,1,1,1,0,0,0,20.0,137.6,1
981,93067,34.420998,-119.60137,1,1,1,0,49,1,2,1,0,2,0,0,0,2,0,0,1,90.05,4547.25,1
899,93101,34.419203,-119.710008,1,1,1,0,43,1,2,1,0,2,2,2,2,2,0,1,0,110.75,4687.9,1
899,93110,34.437945,-119.77191,0,0,1,0,65,1,2,1,0,2,2,0,2,2,0,1,2,105.5,6985.65,1
15,93201,35.869626,-119.498771,1,1,1,0,56,1,2,1,2,0,2,0,2,2,1,1,0,104.55,5794.65,1
38,93202,36.315979,-119.710852,1,0,1,0,10,1,2,1,0,0,0,0,0,2,0,1,2,85.25,855.3,1
50,93204,35.916943,-120.129921,0,0,1,0,43,1,0,0,0,0,0,0,2,0,0,0,2,56.15,2499.3,1
98,93205,35.523991,-118.400432,1,0,0,0,1,1,0,1,0,0,0,0,2,2,0,1,2,89.55,89.55,1
143,93208,36.057458,-118.591951,1,1,1,0,20,1,2,1,0,0,0,0,2,2,0,1,2,94.55,1899.65,1
204,93210,36.186867,-120.387793,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,3,45.7,45.7,1
253,93215,35.772244,-119.209689,0,1,0,0,2,1,2,1,0,2,0,0,0,2,0,0,2,89.5,161.5,1
283,93219,35.858054,-119.305858,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,1,0,69.55,222.3,1
313,93221,36.301689,-119.018233,0,0,0,0,1,1,0,1,0,0,2,0,0,0,0,1,3,74.6,74.6,1
322,93224,35.215731,-119.57013,0,1,0,0,8,1,0,2,1,1,1,1,1,1,0,0,2,19.65,164.3,1
443,93234,36.217864,-120.080117,1,0,1,0,2,1,0,2,1,1,1,1,1,1,1,0,3,19.85,35.9,1
477,93238,35.852892,-118.397782,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,1,3,24.25,96.05,1
531,93244,36.462671,-118.997291,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,2,69.65,145.15,1
538,93247,36.205465,-119.085807,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,3,45.65,191.05,1
590,93252,34.737031,-119.460557,0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,1,3,75.05,75.05,1
715,93255,35.676978,-118.101378,1,1,0,0,52,0,1,0,0,2,0,0,2,2,0,1,2,49.15,2550.9,1
800,93260,35.861928,-118.636698,0,0,0,0,2,0,1,0,0,0,0,0,0,2,0,1,2,34.7,62.25,1
924,93263,35.490705,-119.286833,1,0,1,0,1,1,0,1,0,0,0,0,0,2,0,0,2,80.0,80.0,1
1014,93272,36.047414,-119.344304,1,1,0,0,2,1,0,0,2,0,0,0,0,0,0,1,2,49.25,91.1,1
1111,93285,35.690535,-118.552784,0,0,0,0,3,1,2,1,0,0,0,0,0,0,0,1,1,75.1,270.7,1
1061,93292,36.37559,-119.211689,1,0,1,0,3,1,0,0,0,0,2,0,0,0,0,1,2,50.15,168.15,1
56,93311,35.16207,-119.194488,0,0,0,0,25,1,0,1,2,2,0,0,0,0,0,1,0,79.85,2015.35,1
884,93405,35.236549,-120.727344,1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,19.55,19.55,1
553,93436,34.601055,-120.382917,0,0,1,0,4,1,2,1,0,0,0,0,0,2,0,1,2,85.95,381.3,1
553,93437,34.757477,-120.550507,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1,2,45.35,141.5,1
560,93440,34.758699,-120.275839,1,1,1,0,33,1,2,1,0,0,0,0,2,2,0,1,2,94.5,3105.55,1
705,93445,35.059695,-120.604741,0,1,0,0,30,1,2,1,2,2,2,0,0,0,0,0,1,91.7,2758.15,1
777,93449,35.165668,-120.655842,0,0,0,0,45,1,2,1,0,0,2,2,0,0,0,1,2,87.25,3941.7,1
633,93501,35.097323,-118.171288,1,0,0,0,10,1,2,1,2,0,0,0,2,2,0,0,2,98.55,1008.55,1
466,93528,35.363339,-117.637641,1,1,0,0,20,1,2,1,0,0,2,0,2,2,0,1,2,98.55,1842.8,1
473,93531,35.214982,-118.59049,0,0,0,0,15,1,0,1,0,2,0,0,0,2,0,1,0,85.9,1269.55,1
520,93535,34.712708,-117.889656,0,0,0,0,22,1,0,1,0,0,0,0,2,2,0,0,2,89.25,1907.85,1
520,93536,34.741406,-118.38111,1,0,1,0,3,1,0,1,0,0,0,0,0,0,0,1,2,70.3,208.85,1
737,93552,34.557711,-118.029441,1,0,0,0,15,1,2,1,0,0,0,0,2,2,0,1,2,93.35,1444.65,1
754,93553,34.445239,-117.894868,0,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,19.9,19.9,1
816,93554,35.405722,-117.773354,0,0,1,0,5,1,0,1,2,0,2,0,0,2,0,1,3,88.9,454.15,1
834,93555,35.603913,-117.67828,1,0,1,0,33,1,0,1,0,0,2,0,2,2,1,1,2,95.8,3036.75,1
1027,93562,35.74837,-117.384948,1,0,0,0,2,1,2,1,0,2,0,0,0,0,0,1,2,82.0,184.65,1
737,93591,34.598221,-117.79593,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,45.35,89.5,1
62,93604,37.458367,-119.345011,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,1,2,52.2,52.2,1
88,93606,36.798882,-120.019511,0,1,0,0,46,1,2,1,2,2,2,0,2,2,1,1,2,110.0,4874.8,1
330,93624,36.397745,-120.119911,1,0,0,0,62,1,2,1,0,0,2,0,2,2,1,1,2,96.75,6125.4,1
355,93626,37.027663,-119.69056,0,0,0,0,10,1,2,1,0,0,0,2,2,2,0,1,2,98.5,1058.25,1
476,93630,36.727418,-120.123526,1,0,0,0,6,1,0,1,0,2,0,0,2,0,0,1,2,85.35,489.45,1
580,93637,36.902954,-120.194274,1,0,1,0,40,1,2,1,0,2,0,0,2,2,0,1,2,101.3,4113.1,1
580,93638,37.004068,-119.930027,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,2,69.55,69.55,1
610,93640,36.687292,-120.437354,1,0,0,0,58,1,2,1,0,2,2,0,2,2,1,1,0,103.25,6017.65,1
628,93641,36.696759,-119.024051,1,0,0,0,70,1,2,1,2,0,0,2,2,2,2,1,1,104.0,7250.15,1
725,93647,36.600185,-119.175655,0,0,0,0,2,1,0,1,0,0,2,0,0,2,0,1,3,86.2,178.7,1
354,93650,36.841655,-119.797113,1,0,1,0,21,1,2,1,0,2,2,2,2,2,0,1,2,111.2,2317.1,1
877,93660,36.600193,-120.153393,0,0,1,0,16,1,0,1,0,2,2,0,2,0,0,1,1,89.45,1430.25,1
922,93662,36.545322,-119.642281,1,1,1,0,7,1,2,1,0,0,0,0,2,2,0,1,0,95.6,644.35,1
955,93665,36.959731,-120.653519,1,0,1,0,60,1,0,1,0,2,2,0,2,0,1,0,2,90.95,5453.4,1
1015,93667,36.993666,-119.348267,0,0,1,0,50,1,2,1,2,2,0,2,2,2,1,0,2,108.55,5610.7,1
964,93675,36.719141,-119.202677,0,1,0,0,4,1,0,1,0,0,0,0,2,0,0,1,2,78.85,292.8,1
354,93703,36.768774,-119.762633,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,44.4,44.4,1
354,93706,36.654614,-119.903674,0,1,0,0,55,1,2,1,0,0,2,0,2,2,1,1,2,100.0,5509.3,1
354,93711,36.833002,-119.82947,0,0,1,0,12,1,0,2,1,1,1,1,1,1,1,0,0,19.8,229.6,1
354,93721,36.732694,-119.783786,1,0,0,0,1,1,0,1,0,0,0,0,2,2,0,1,2,89.9,89.9,1
86,93920,36.092975,-121.549826,0,0,0,0,62,1,2,1,0,0,2,0,2,2,1,1,2,100.15,6413.65,1
159,93923,36.460611,-121.852507,1,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,2,50.8,50.8,1
467,93928,35.930782,-121.189757,1,1,1,0,20,1,0,1,0,2,0,0,0,0,0,1,2,73.65,1463.5,1
480,93930,36.220761,-120.980777,0,0,0,0,3,1,0,1,0,2,0,0,2,2,0,1,2,95.1,307.4,1
547,93932,35.989792,-121.055933,1,0,0,0,22,1,2,1,0,0,0,0,2,2,0,1,1,94.65,2104.55,1
591,93933,36.689582,-121.758398,1,0,1,0,4,1,0,1,0,0,2,2,0,0,0,1,3,80.6,319.15,1
755,93953,36.587497,-121.944815,1,0,1,0,59,1,2,1,0,0,0,0,0,2,1,0,2,85.55,5084.65,1
69,94002,37.509366,-122.306132,0,0,0,0,60,0,1,0,0,2,0,0,2,2,0,1,2,50.8,3027.4,1
242,94014,37.691561,-122.445202,0,0,0,0,15,1,0,1,2,0,2,2,2,2,0,0,2,105.1,1582.75,1
551,94021,37.266388,-122.26308,1,0,0,0,10,1,0,1,2,2,2,2,2,2,0,1,2,110.1,1043.3,1
561,94024,37.352911,-122.093002,0,0,0,0,6,1,0,1,0,0,2,0,0,2,0,0,2,83.9,497.55,1
659,94040,37.380662,-122.086022,0,0,1,0,63,1,2,1,2,2,2,0,2,0,0,1,2,100.55,6215.35,1
